1834800 non-violating size-3 partial labelings in 808 full-group orbit types [43s]
type sizes: [(2304, 250), (4608, 181), (1152, 149), (576, 127), (288, 47), (9216, 16), (768, 11), (96, 6), (192, 6), (384, 5), (144, 4), (1536, 4), (72, 2)]
  type   90 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 1, 2) edges=--- nonsimplex mags=(1, 2, 3) ]
  type   91 size     288 removed     32 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-E nonsimplex mags=(1, 1, 1) 01:eq 02:ne 12:eq]
  type   92 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-E nonsimplex mags=(1, 1, 2) 01:eq]
  type   93 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-E nonsimplex mags=(1, 1, 2) 02:eq]
  type   94 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-E nonsimplex mags=(1, 1, 2) 02:ne]
  type   95 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-E nonsimplex mags=(1, 2, 2) 12:eq]
  type   96 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-E nonsimplex mags=(1, 2, 3) ]
  type   97 size     144 removed     16 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type   98 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 1, 2) 01:eq]
  type   99 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:eq]
  type  100 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:ne]
  type  101 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 3) ]
  type  102 size     288 removed     32 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type  103 size    2304 removed    256 orbit-cols -> solution (rank 94054)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 1, 2) 01:eq]
  type  104 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:eq]
  type  105 size    1152 removed    128 orbit-cols -> solution (rank 94048)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 2) 12:ne]
  type  106 size    2304 removed    256 orbit-cols -> solution (rank 94062)  [ranks=(1, 3, 3) edges=EE- nonsimplex mags=(1, 2, 3) ]
  type  107 size     576 removed     64 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type  108 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 1, 2) 01:eq]
  type  109 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 1, 2) 02:eq]
  type  110 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 2, 2) 12:eq]
  type  111 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 2) edges=E-- nonsimplex mags=(1, 2, 3) ]
  type  112 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:eq]
  type  113 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 1, 2) 01:eq]
  type  114 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 1, 2) 02:eq]
  type  115 size    4608 removed    512 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 2, 2) 12:eq]
  type  116 size    4608 removed    512 orbit-cols -> solution (rank 94000)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 2, 2) 12:ne]
  type  117 size    9216 removed   1024 orbit-cols -> solution (rank 94048)  [ranks=(1, 3, 4) edges=EE- nonsimplex mags=(1, 2, 3) ]
  type  118 size    1152 removed    128 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 1, 1) 01:eq 02:eq 12:ne]
  type  119 size    2304 removed    256 orbit-cols -> solution (rank 94064)  [ranks=(1, 3, 3) edges=E-- nonsimplex mags=(1, 1, 2) 01:eq]
